	Aruba	Africa Eastern and Southern	Afghanistan	Africa Western and Central	Angola	Albania	Andorra	Arab World	United Arab Emirates	Argentina	Armenia	American Samoa	Antigua and Barbuda	Australia	Austria	Azerbaijan	Burundi	Belgium	Benin	Burkina Faso	Bangladesh	Bulgaria	Bahrain	"Bahamas, The"	Bosnia and Herzegovina	Belarus	Belize	Bermuda	Bolivia	Brazil	Barbados	Brunei Darussalam	Bhutan	Botswana	Central African Republic	Canada	Central Europe and the Baltics	Switzerland	Channel Islands	Chile	China	Cote d'Ivoire	Cameroon	"Congo, Dem. Rep."	"Congo, Rep."	Colombia	Comoros	Cabo Verde	Costa Rica	Caribbean small states	Cuba	Curacao	Cayman Islands	Cyprus	Czechia	Germany	Djibouti	Dominica	Denmark	Dominican Republic	Algeria	East Asia & Pacific (excluding high income)	Early-demographic dividend	East Asia & Pacific	Europe & Central Asia (excluding high income)	Europe & Central Asia	Ecuador	"Egypt, Arab Rep."	Euro area	Eritrea	Spain	Estonia	Ethiopia	European Union	Fragile and conflict affected situations	Finland	Fiji	France	Faroe Islands	"Micronesia, Fed. Sts."	Gabon	United Kingdom	Georgia	Ghana	Gibraltar	Guinea	"Gambia, The"	Guinea-Bissau	Equatorial Guinea	Greece	Grenada	Greenland	Guatemala	Guam	Guyana	High income	"Hong Kong SAR, China"	Honduras	Heavily indebted poor countries (HIPC)	Croatia	Haiti	Hungary	IBRD only	IDA & IBRD total	IDA total	IDA blend	Indonesia	IDA only	Isle of Man	India	Not classified	Ireland	"Iran, Islamic Rep."	Iraq	Iceland	Israel	Italy	Jamaica	Jordan	Japan	Kazakhstan	Kenya	Kyrgyz Republic	Cambodia	Kiribati	St. Kitts and Nevis	Korea	Kuwait	Latin America & Caribbean (excluding high income)	Lao PDR	Lebanon	Liberia	Libya	St. Lucia	Latin America & Caribbean	Least developed countries: UN classification	Low income	Liechtenstein	Sri Lanka	Lower middle income	Low & middle income	Lesotho	Late-demographic dividend	Lithuania	Luxembourg	Latvia	"Macao SAR, China"	St. Martin (French part)	Morocco	Monaco	Moldova	Madagascar	Maldives	"Middle East, North Africa, Afghanistan & Pakistan"	Mexico	Marshall Islands	Middle income	North Macedonia	Mali	Malta	Myanmar	"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"	Montenegro	Mongolia	Northern Mariana Islands	Mozambique	Mauritania	Mauritius	Malawi	Malaysia	North America	Namibia	New Caledonia	Niger	Nigeria	Nicaragua	Netherlands	Norway	Nepal	Nauru	New Zealand	OECD members	Oman	Other small states	Pakistan	Panama	Peru	Philippines	Palau	Papua New Guinea	Poland	Pre-demographic dividend	Puerto Rico (US)	"Korea, Dem. People's Rep."	Portugal	Paraguay	West Bank and Gaza	Pacific island small states	Post-demographic dividend	French Polynesia	Qatar	Romania	Russian Federation	Rwanda	South Asia	Saudi Arabia	Sudan	Senegal	Singapore	Solomon Islands	Sierra Leone	El Salvador	San Marino	"Somalia, Fed. Rep."	Serbia	Sub-Saharan Africa (excluding high income)	South Sudan	Sub-Saharan Africa	Small states	Sao Tome and Principe	Suriname	Slovak Republic	Slovenia	Sweden	Eswatini	Sint Maarten (Dutch part)	Seychelles	Syrian Arab Republic	Turks and Caicos Islands	Chad	East Asia & Pacific (IDA & IBRD countries)	Europe & Central Asia (IDA & IBRD countries)	Togo	Thailand	Tajikistan	Turkmenistan	Latin America & the Caribbean (IDA & IBRD countries)	Timor-Leste	"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"	Tonga	South Asia (IDA & IBRD)	Sub-Saharan Africa (IDA & IBRD countries)	Trinidad and Tobago	Tunisia	Turkiye	Tuvalu	Tanzania	Uganda	Ukraine	Upper middle income	Uruguay	United States	Uzbekistan	St. Vincent and the Grenadines	"Venezuela, RB"	British Virgin Islands	Virgin Islands (U.S.)	Viet Nam	Vanuatu	World	Samoa	Kosovo	"Yemen, Rep."	South Africa	Zambia	Zimbabwe
1960	54922	130075728	9035043	97630925	5231654	1608800	9510	91540853	131334	20386045	1863705	20133	55603	10276477	7047539	3894500	2764258	9153489	2517286	4778621	51828660	7867374	165477	116317	3281381	8198000	91318	42208	3702323	72388126	230893	88347	224084	516165	1702346	17909356	91401309	5327827	110808	8153350	667070000	3673666	5159057	15264846	1056732	15606209	197700	210024	1327496	2558348	7238081	124826	8428	586490	9602006	72814900	86024	59372	4579603	3268336	11424922	895961535	968909356	1042818620	128810451	667887356	4590891	26896479	270148970	972547	30455000	1211537	21376693	357710476	244461631	4429634	404887	47412964	34127	43061	512316	52400000	3645600	6961215	21839	3556749	398060	577633	269807	8331725	94058	32500	4063655	69525	569143	908257300	3094840	2062060	163650527	4140181	3858443	9983512	1893704624	2289192009	395487385	124475467	88296070	271011918	48868	435990338		2828600	21470434	7022052	175574	2114020	50199700	1650005	853471	93216000	9429981	7695307	2172300	5449966	47157	55810	25012374	311060	192855898	2121514	1794406	1139522	1492890	92585	218624695	245048596	114749038	16451	9661389	819316105	2083718515	736500	1094883717	2778550	313970	2120979	173315	4250	11624933	21808	2058020	5111029	91189	157933392	36724615	14703	1968969477	1435059	5402550	326550	21730250	151883053	480579	977595	8736	6713695	824298	680331	3628134	7956197	198622564	591465	79819	3505050	45053782	1782370	11486631	3581239	10123658	4607	2371800	809580211	530485	5297024	45709310	1126005	10174127	27891897	9328	1995110	29637450	188920253	2358000	11722953	8857716	1883514		912120	756359099	83671	36010	18406905	119897000	3022294	507919318	2435403	8364489	3340907	1646400	139688	2268356	2791459	15428	2876331	6638992	206288260	2931559	227706653	8767492	68012	263918	4068095	1584720	7484656	345337	2715	41700	4673500	5599	3049838	884252517	308759361	1673110	26851747	2112131	1643457	208671107	468118	151883053	66170	507919318	227706653	844943	4267288	28329898	5598	9901419	7640973	42824093	1149653372	2529957	180671000	8209109	84388	8160090	7950	32500	32531933	64431	3021512598	112490	984846	5532301	16440172	3153729	3809389
1961	55578	133534923	9214083	99706674	5301583	1659800	10283	93931683	137989	20726276	1927484	20666	56540	10483000	7086299	4045750	2835119	9183948	2559223	4848224	53310348	7943118	172346	122197	3348035	8271216	93632	43123	3778731	74605447	233148	92517	230602	527942	1734580	18271000	92231375	5434294	111782	8324802	660330000	3810151	5239273	15662374	1084389	16095203	201201	215087	1377920	2614258	7387117	126125	8601	595514	9586651	73377632	89390	60209	4611687	3373233	11628883	895534581	994176841	1044749888	131617926	675548634	4722331	27600898	272472951	995573	30739250	1225077	21906102	360681613	249737371	4461005	417406	47905982	34557	44610	518266	52800000	3703600	7162667	21872	3619551	408930	582532	274896	8398050	95335	33700	4186201	71311	582568	919449343	3168100	2121242	167634887	4167292	3929030	10027958	1915613080	2321079191	405466111	127688784	90791249	277777327	48451	446564729		2824400	22125726	7194553	179029	2185000	50536350	1673261	897591	94055000	9742085	7987770	2255900	5571168	48323	55334	25765673	345945	198298501	2169796	1850084	1167717	1555699	93490	224737321	250984924	117449222	16877	9899372	839921567	2112956756	758824	1096959453	2823550	316845	2152681	173323	4386	11931085	21901	2103327	5246158	93450	162068656	37890118	15219	1995507534	1455171	5482283	325250	22210581	155796245	491140	1009284	8995	6834936	846167	680757	3715534	8164443	202005123	603067	82521	3608162	45989310	1836451	11638712	3609800	10318396	4774	2419700	820795966	539854	5374964	46921277	1159870	10475123	28792621	9555	2046127	29964000	193342737	2399722	11990713	8929316	1927394		938244	765442136	85434	39680	18555250	121236000	3106779	520416897	2526347	8634941	3436375	1702400	142912	2304227	2870016	15799	2952054	6689077	211292606	2976724	233241597	8927466	68707	272791	4191667	1594131	7519998	353264	2970	42889	4815466	5622	3111947	883558197	313483586	1702717	27650334	2181805	1695400	214582669	475291	155796245	68037	520416897	233241597	863144	4316278	29119238	5648	10187886	7862217	43399766	1155585967	2562044	183691000	8517711	85870	8455915	8034	34300	33409059	66264	3062768116	115496	1011421	5655232	16908035	3254086	3930401
1962	56320	137171659	9404406	101854756	5354310	1711319	11086	96428599	144946	21072538	1991689	21298	57336	10742000	7129864	4168150	2907943	9220578	2604659	4919672	54881146	8012946	179349	128493	3407532	8351928	96042	44239	3857493	76865323	235224	96719	237636	540186	1768115	18614000	93008589	5573815	112953	8497059	665770000	3956939	5338620	16075724	1113175	16599029	204702	221919	1429445	2670187	7541098	128414	8781	601466	9624660	74025784	93283	60948	4647727	3479936	11800771	907473022	1020130725	1059216594	134400419	683341199	4859269	28337013	274815182	1019788	31023366	1241623	22465126	363707978	255228141	4491443	430536	48389516	34963	46218	524649	53250000	3760300	7337375	22197	3684273	420163	589474	280286	8448233	96375	35000	4312044	73192	595461	930832910	3305200	2182064	171771666	4196712	4001575	10060825	1950274734	2366117598	415842864	131049320	93375850	284793544	48688	457283090		2836050	22807907	7413875	182378	2293000	50879450	1696932	940554	94933000	10058928	8299308	2333400	5697558	49538	54461	26513030	384995	203914785	2219910	1909578	1197039	1621960	94505	231038261	257173413	120247507	17443	10143754	861015557	2155317281	781814	1111293141	2863350	320750	2181586	177810	4527	12253092	22078	2147227	5384150	95802	166390935	39129200	15755	2035069774	1471745	5563917	323900	22704719	159849264	502558	1041444	9280	6969364	869184	700349	3806307	8380172	205196239	615759	85334	3714520	46965292	1892320	11805689	3638918	10521116	4979	2482000	832227425	549941	5476102	48156128	1195301	10784612	29723536	9793	2093919	30308500	198004977	2450322	12262882	8993985	1973130		965430	774678780	87261	44630	18676550	122591000	3186025	533162544	2620910	8919028	3534686	1750200	146201	2342242	2949204	16183	3030091	6740264	216517247	3024308	239026415	9111719	69403	283912	4238188	1603649	7561588	361365	3264	44042	4959340	5636	3175598	895224912	318186127	1732959	28481040	2255026	1749214	220668336	482774	159849264	69940	533162544	239026415	880194	4369136	29916147	5699	10487756	8092231	43943674	1174054217	2593298	186538000	8854368	87236	8756870	8070	35000	34288560	68174	3117372187	118597	1036950	5782221	17418522	3358099	4055959
1963	57002	140945536	9604487	104089175	5408320	1762621	11915	99038509	152211	21421705	2056023	21966	58138	10950000	7175811	4293550	2969841	9289770	2652908	4993623	56504402	8078145	186501	135087	3461942	8437232	98704	45340	3938913	79164235	237557	101159	245156	552966	1803063	18964000	93840016	5694247	114234	8670144	682335000	4112061	5456623	16507599	1143263	17113823	208185	229373	1481604	2728278	7701660	130860	8970	607252	9670685	74714353	97872	61739	4684483	3588287	11982118	930810837	1046697479	1085095424	137187829	691189404	5001716	29091869	277205348	1045092	31296651	1258857	23051637	366840786	260895002	4523309	444276	48877567	35391	47744	531452	53650000	3816100	7514714	22753	3750954	431757	594418	285965	8479625	97195	36400	4440264	75095	608537	942141564	3420900	2244878	176063263	4225675	4073068	10087947	1996753344	2423348992	426595648	134563454	96051424	292032194	49151	468138575		2852650	23519005	7667928	185653	2379000	51252000	1721099	984714	95900000	10377466	8627971	2413700	5823010	50791	53441	27261747	427694	209675273	2271061	1970316	1227414	1690457	95519	237499676	263557766	123153845	18093	10395040	882650423	2209805827	805373	1137056579	2898950	324100	2210919	182135	4673	12577502	22385	2188895	5525185	98222	170881281	40424065	16302	2086651982	1488737	5646605	322550	23213408	164082777	513409	1071362	9595	7109828	893423	718861	3900506	8602160	208251340	629589	88050	3823873	47973575	1950159	11965966	3666537	10729818	5226	2531800	843650775	560827	5578740	49447776	1232124	11102099	30674731	10037	2141376	30712000	202879347	2504530	12567057	9030355	2021909		993524	783736508	89737	50380	18797850	123960000	3258890	546111213	2719341	9218077	3635876	1795000	149589	2382258	3028679	16580	3110361	6787950	221937898	3072669	245034711	9300542	70112	297034	4282017	1616971	7604328	369759	3584	45176	5110467	5647	3240905	918259043	322961499	1765072	29342322	2331736	1804272	226899749	490564	164082777	71885	546111213	245034711	896804	4427131	30726841	5751	10799528	8333663	44462372	1204001559	2623766	189242000	9202246	88523	9064021	8114	39800	35249101	70159	3184063049	121764	1062737	5911135	17954564	3465907	4185877
1964	57619	144904094	9814318	106388440	5464187	1814135	12764	101729760	159692	21769453	2120135	22673	59020	11167000	7223801	4439250	3055650	9378113	2704003	5071034	58178374	8144340	193816	141528	3513441	8524224	101603	46410	4022996	81488595	239958	105922	252987	566266	1839583	19325000	94715795	5789228	115561	8842525	698355000	4273952	5578257	16955327	1174816	17637411	211644	237006	1533960	2784804	7866020	133148	9166	612521	9727804	75318337	103198	62587	4722072	3698559	12179813	953783472	1074021283	1110651177	139973968	699058435	5149918	29858922	279621056	1071287	31609195	1277086	23666548	370055037	266719458	4548543	458324	49401492	35847	49181	538657	54000000	3870300	7695739	23315	3819722	443687	588543	291942	8510429	97760	37600	4571109	77008	621764	953477851	3504600	2309855	180537667	4252876	4146244	10119835	2043309631	2481068241	437758610	138208407	98833749	299550203	49625	479229598		2866550	24262859	7929566	188983	2475000	51675350	1745568	1035640	96903000	10690309	8973535	2495300	5946178	52088	52326	27984155	473115	215558178	2322826	2030543	1258745	1753691	96505	244080552	270194662	126203534	18755	10653397	904811416	2264731089	829437	1162405292	2935200	327750	2240623	225655	4827	12898886	22686	2228000	5669863	100662	175548682	41772049	16852	2138527555	1510900	5730125	321250	23737315	168474397	521753	1100234	9925	7255061	918955	736381	3997305	8828406	211260410	644530	90602	3935814	49012016	2010176	12127120	3694339	10946392	5515	2585400	855135046	572577	5680872	50799999	1270065	11427978	31643032	10292	2188325	31139450	207958469	2554066	12889770	9035365	2073119		1022081	792735136	92823	56867	18919126	125345000	3334834	559361410	2821968	9531109	3740535	1841600	153085	2424390	3111883	16977	3192796	6832855	227579664	3129918	251292534	9487757	70865	309041	4327341	1632114	7661354	378656	3922	46322	5269087	5657	3307479	940909509	327774760	1803440	30232141	2411260	1859997	233255631	498659	168474397	73879	559361410	251292534	912963	4489869	31543072	5752	11127826	8586363	44951156	1233716139	2653180	191889000	9557611	89749	9377712	8168	40800	36201563	72219	3251253200	124894	1090270	6048006	18511361	3577017	4320006
1965	58190	149033472	10036008	108772632	5521981	1864791	13634	104494008	167103	22112629	2183635	23406	59970	11388000	7270889	4574650	3141367	9463667	2757936	5152833	59902519	8204168	200866	147952	3562834	8610000	104675	47461	4109796	83817583	242417	110838	261200	574664	1877854	19678000	95440988	5856472	116879	9012938	715185000	4442377	5704686	17427802	1207880	18169050	214967	244856	1586208	2839698	8030797	135266	9361	617736	9779358	75963695	109092	63505	4759012	3808963	12365976	977366928	1101264258	1136869154	142668572	706683416	5303963	30629174	282028347	1098335	31954292	1294566	24310612	373129199	272676376	4563732	472575	49877725	36347	50684	546308	54348050	3921600	7882606	23878	3890716	455952	575005	298238	8550333	98067	39200	4704965	78932	635128	964459737	3597900	2377157	185208644	4280923	4223820	10147935	2090209567	2539564344	449354777	141992226	101365130	307362551	50090	490140146		2877300	25036978	8202140	192286	2563000	52112350	1769192	1099440	97952000	10993183	9338078	2573300	6072289	53439	51139	28704674	521174	221535468	2376200	2088831	1291156	1804015	97493	250750949	277101968	129388226	19195	10916965	927102247	2320529383	854090	1188451832	2971450	331500	2265919	265631	4996	13239171	22941	2265287	5819116	104102	180361095	43174477	17402	2191141157	1533466	5815487	318800	24279431	173012080	526327	1131177	10264	7406421	945838	753000	4096157	9056408	214028461	660558	93159	4049695	50086764	2072681	12294732	3723168	11173411	5832	2628400	866300939	585236	5779625	52209010	1308835	11761085	32625316	10547	2235820	31444950	213246024	2594000	13219369	8998595	2125177		1051140	801451274	96017	64065	19031576	126745000	3423210	572498343	2928771	9858030	3849788	1886900	156686	2468666	3199466	17305	3277874	6876624	233447992	3189835	257806104	9670463	71680	320000	4370983	1649160	7733853	388336	4282	47500	5435267	5658	3374220	964163938	332375189	1853771	31149337	2492998	1915916	239708690	507034	173012080	75924	572498343	257806104	928425	4561385	32345220	5715	11470728	8849203	45386892	1264038910	2681169	194303000	9921681	90927	9697790	8257	43500	37129656	74358	3318997522	127978	1120168	6195593	19089380	3692086	4458462
1966	58694	153281203	10266395	111246953	5581386	1914573	14626	107403055	173976	22453893	2246159	24136	60900	11651000	7322066	4708150	3217960	9527807	2814317	5237933	61669806	8258057	207543	154874	3610562	8696496	107906	48534	4199550	86139359	244996	115874	269820	577866	1918082	20048000	96146336	5918002	118186	9181722	735400000	4617519	5837295	17931929	1242534	18702688	218663	252976	1638116	2894435	8193450	136682	9560	623390	9821040	76600311	115269	64507	4797381	3921847	12590069	1004271490	1128474732	1166223463	145371529	713443573	5463748	31406541	284299197	1124957	32283194	1308597	24952689	376058575	278749755	4580869	486487	50311637	36816	52258	554463	54648500	3966700	8074521	24444	3964155	468516	566908	304859	8613651	98121	40500	4840958	80844	648646	974216640	3629900	2446751	190048827	4310701	4302639	10178653	2139608511	2600930009	461321498	145904459	103792754	315417039	50749	500740247		2888800	25829270	8485104	195570	2629000	52519000	1791475	1178360	98851000	11288989	9717816	2655300	6201232	54425	49898	29435571	572590	227585310	2431084	2148260	1324383	1849063	98463	257488362	284221585	132707292	19610	11183928	949379894	2379893006	881870	1217220438	3008050	333895	2283217	262942	5213	13597065	23131	2301871	5974279	108507	185366083	44629106	17927	2247185714	1557349	5902204	315200	24836496	177756891	526419	1163754	10612	7562990	974157	768813	4197926	9284688	216656534	677655	95820	4165544	51188234	2137820	12456251	3753012	11408710	6043	2675900	877030636	598804	5872358	53678667	1348388	12101297	33617170	10805	2285774	31681000	218721527	2624995	13569094	8930990	2177584		1079689	809623605	99320	72192	19215450	127468000	3521626	585381018	3039887	10197578	3964299	1934400	160393	2514638	3290961	17523	3365106	6927969	239526768	3236423	264528156	9846482	72576	331135	4411666	1669905	7807797	398766	4664	48699	5609047	5654	3440903	990719244	336304737	1918513	32086071	2577184	1971737	246239963	515696	177756891	78002	585381018	264528156	942937	4652287	33177672	5686	11827459	9122864	45802519	1297805820	2707646	196560000	10289294	92052	10024854	8413	46200	38024836	76590	3389087189	131073	1152586	6351494	19690087	3812003	4601217
1967	58990	157704381	10505959	113795019	5641807	1965598	15837	110491709	179700	22799059	2307492	24863	61837	11799000	7376998	4832000	3300690	9580991	2872997	5326348	63510929	8310226	214189	162267	3656223	8785648	111272	49514	4292572	88446124	247091	121017	278852	580933	1960444	20412000	97043270	5991785	119505	9348939	754550000	4799744	5977318	18462782	1278691	19235618	223859	261404	1689523	2948759	8352625	138140	9769	629251	9852899	76951336	121649	65585	4835354	4038928	12876118	1030471073	1156817324	1194633135	148087983	720146318	5629057	32196360	286298506	1152339	32682947	1318946	25620276	378902917	284996969	4605744	498873	50722791	37202	53846	563108	54943600	4005800	8271913	25015	4040153	481588	569011	311805	8684088	98066	41900	4978862	82719	662311	983598764	3722800	2518648	195111370	4338683	4382999	10216604	2188950141	2662674586	473724445	149923848	106526393	323800597	51741	511606372		2902450	26628432	8778869	198751	2745000	52900500	1812865	1271183	99879000	11584428	10111057	2736500	6332944	54996	48605	30130983	628089	233696754	2487715	2206731	1358435	1898199	99504	264279682	291642814	136209201	20175	11457328	972239035	2439437803	913982	1245130293	3044400	334995	2301220	260423	5472	13968175	23230	2337695	6136486	112528	190664582	46129608	18655	2303228602	1582492	5990906	311550	25406429	182734055	522796	1196996	10749	7724550	1003843	783917	4303012	9507099	219173514	696045	98587	4283590	52293065	2205567	12598201	3784539	11652716	6135	2724100	887553832	613318	5959394	55214768	1388628	12448814	34621320	10988	2337532	31987155	224392810	2645674	13958350	8874520	2229994		1105889	817437528	102754	81439	19534242	128196000	3629577	598618725	3157242	10550597	4083870	1977600	164245	2562384	3385184	17688	3454537	6966522	245829213	3277648	271499400	10014042	73596	342679	4449367	1689528	7867931	409031	5071	49911	5790198	5657	3508512	1016529846	340454289	1995890	33037801	2664130	2027403	252838271	524648	182734055	79814	598618725	271499400	956418	4760970	34050421	5652	12200109	9408924	46215988	1330989567	2732277	198712000	10659180	93124	10358513	8646	49100	38895080	78921	3459015356	133764	1187667	6516444	20314066	3936343	4748307
1968	59069	162329396	10756922	116444636	5702699	2022272	17176	113712171	199416	23150583	2367319	25614	62809	12009000	7415403	4948500	3380387	9618756	2934257	5418644	65408276	8369603	219337	170089	3698794	8874552	114713	50404	4388944	90741240	248540	126222	288311	583966	2005100	20744000	97884022	6067714	120793	9514716	774510000	4990021	6125863	19012189	1316519	19766796	230244	270164	1739731	3002786	8509522	140298	9971	635157	9876346	77294314	128250	66732	4864883	4157189	13172614	1057697808	1185936827	1224397449	150777578	726634174	5799680	32998319	288206171	1181737	33113134	1331214	26337930	381579577	291464978	4626469	510002	51112980	37560	55457	572257	55211700	4042300	8475729	25578	4118550	495269	578170	318849	8740765	98078	43400	5118111	84563	676160	992893702	3802700	2593057	200419142	4365628	4465328	10255815	2239610101	2726203260	486593159	154080039	109450006	332513120	52891	522716889		2915550	27437391	9085016	201488	2803000	53235750	1833765	1372460	101011000	11879182	10518823	2818300	6467324	55529	47245	30838302	687716	239864448	2546377	2266368	1393530	1952781	100675	271127278	299374569	139862334	20835	11736088	995662056	2500774399	948105	1273820149	3078850	335850	2323619	257933	5693	14347899	23437	2373073	6306493	116075	196098319	47668303	19862	2360912065	1608930	6082979	307900	25989662	187877692	517481	1229930	10468	7892613	1034739	798413	4411054	9725281	221500404	715542	101441	4403637	53432783	2275836	12729721	3816486	11906266	6328	2748100	897869478	628798	6047701	56810507	1429447	12803993	35638342	11080	2390803	32294655	230300956	2662064	14365596	8836650	2282391		1130851	825029113	106353	91749	19799831	128928000	3744010	612171905	3282711	10917999	4207587	2012000	168282	2611532	3480773	17861	3546590	7007586	252384968	3321528	278774032	10181338	74765	354616	4483915	1704546	7912273	419147	5500	51134	5978742	5656	3578231	1043349620	344535295	2080226	34002560	2753848	2083069	259494716	533875	187877692	81353	612171905	278774032	969006	4879899	34921684	5624	12602076	9708632	46614325	1365250009	2754606	200706000	11032155	94123	10697530	9000	55700	39734609	81314	3530703561	136020	1214208	6690524	20957287	4065593	4900440
1969	59052	167088245	11017409	119203521	5763685	2081695	18555	117053219	239660	23508711	2424030	26375	63819	12263000	7441055	5063300	3454590	9646032	2998222	5513177	67294133	8434172	222469	177981	3737765	8960304	118040	51306	4488232	93045777	249444	131446	298214	587066	2051515	21028000	98606630	6136387	122039	9680282	796025000	5192221	6283462	19570445	1356182	20291942	237001	279248	1789276	3055925	8666640	142581	10165	641189	9896580	77909682	136078	67934	4891860	4277035	13475960	1086662478	1215536741	1256167955	153462746	733044421	5975236	33811615	290179378	1212005	33441054	1345249	27072571	384226226	298094137	4623785	520797	51536014	37907	57145	583276	55441750	4080300	8690383	26120	4198300	509440	581610	322517	8772764	98204	44900	5257081	86404	690223	1002359669	3863900	2670289	205895893	4391490	4549334	10298723	2292098651	2791883177	499784526	158393968	112517639	341390558	54074	533880544		2932650	28273482	9403356	203369	2877000	53537950	1855127	1473100	102219000	12156212	10939695	2894800	6604725	56360	45731	31544266	749452	246093261	2606959	2328159	1429605	2014293	101879	278039112	307260565	143593621	21084	12013858	1019411884	2564343032	983202	1304068257	3107321	337500	2343173	255306	5868	14734255	23831	2408469	6484716	119564	201742643	49233194	21305	2420749411	1636345	6177704	304300	26585112	193184368	513340	1262284	9989	8066951	1066754	812405	4521184	9947597	223756306	736120	104849	4525725	54631914	2348398	12877984	3847707	12167036	6581	2772800	908238681	645255	6141108	58460939	1470886	13166767	36660799	11159	2446927	32548300	236419165	2684150	14767615	8757705	2334992		1156327	832633761	110111	103025	20009141	129664000	3861271	625773349	3417114	11298936	4334974	2042500	172476	2661365	3576485	18026	3641015	7123249	259166830	3365533	286291766	10353360	76083	366906	4518607	1713874	7968072	429875	5948	52365	6175166	5652	3651113	1071912603	348509849	2164814	34973782	2845273	2139024	266211242	543356	193184368	82885	625773349	286291766	980706	5004697	35787774	5631	13036700	10014858	46976256	1401337527	2773974	202677000	11403150	95058	11040280	9533	60300	40582096	83755	3604815552	138233	1231460	6875859	21614676	4197116	5058181
1970	58950	171984985	11290128	122086536	5852788	2135479	19977	120469263	286536	23878327	2475633	27026	64528	12507000	7467086	5172050	3530432	9655549	3065057	5610304	69058894	8489574	224809	184982	3773247	9040000	120736	52124	4590010	95375651	249387	135138	308528	590334	2097505	21324000	99134548	6180877	123288	9845344	818315000	5411567	6449793	20137436	1397638	20811782	244185	287885	1838949	3104308	8824382	144739	10517	647446	9858071	78169289	145175	68908	4928757	4399290	13783719	1116395242	1245960808	1288721548	155918823	738724073	6155387	34623990	291834356	1243453	33814531	1360076	27829128	386406167	304858040	4606307	531188	52007169	38269	58922	595846	55663250	4119900	8925813	26634	4277535	524105	584403	320803	8792806	98414	46400	5396966	88365	702705	1011801481	3959000	2750715	211549510	4412252	4635124	10337910	2346056161	2859123476	513067315	162852517	115657495	350214798	55300	545864268		2957250	29145100	9735611	204438	2974000	53821850	1878196	1565163	103403000	12419057	11368791	2959900	6639182	57510	44606	32240827	809114	252358538	2669702	2386114	1466676	2082589	103165	284995920	315102512	147417297	21140	12287110	1043977970	2629570646	1019273	1334963829	3139689	339171	2359164	257396	6047	15129449	24229	2437590	6672003	123219	207569650	50814953	22530	2482153349	1664208	6276472	302650	27193016	198631041	512407	1295272	10170	8250506	1099806	826000	4633944	10178802	226428124	757868	109338	4650275	55893838	2423065	13038526	3875763	12436190	6710	2810700	918489195	662680	6240826	60166719	1513070	13501237	37622204	11368	2505628	32664300	242769169	2718000	15172775	8680431	2388028		1181537	840190480	114010	116350	20250398	130404000	3980669	640078209	3562470	11695771	4466328	2074507	176579	2712286	3668796	18168	3738448	7164993	266188793	3409614	294071521	10526671	77626	379442	4538223	1724891	8042801	441216	6414	53600	6380609	5667	3727828	1101240545	352139347	2244773	35954408	2936779	2195616	272962813	553069	198631041	84401	640078209	294071521	991471	5131396	36638465	5663	13492677	10321603	47261306	1438175379	2790807	205052000	11762638	95964	11387790	9933	63476	41475230	86266	3680589045	140400	1249555	7065279	22279984	4321718	5215918
1971	58781	177022314	11567667	125072948	5991102	2187853	21442	123950810	335027	24257208	2525345	27533	64729	12937000	7500482	5282950	3617289	9673162	3134767	5707999	70276758	8536395	230733	190857	3809376	9115576	122805	52607	4694342	97739273	249168	137921	319211	600481	2141450	21962032	99635258	6213399	124555	10009701	841105000	5650868	6624408	20695569	1441039	21319096	251865	294046	1888539	3148560	8979085	147389	11098	654050	9826815	78312842	155136	69532	4963126	4524234	14098936	1146649477	1276141826	1322856516	158428591	744432963	6340052	35433368	293516097	1276154	34224490	1376955	28600106	388553371	311844505	4612124	541121	52499553	38703	60636	608348	55896223	4163000	9176264	27020	4355200	539388	586221	315940	8831036	98648	47200	5538355	90466	712662	1022885127	4045300	2834616	217344674	4431275	4723244	10367537	2401008150	2926951963	525943813	167356115	118833702	358587698	56427	558096387		2992050	30029071	10077809	206098	3069000	54073490	1903728	1645145	105697000	12684813	11788904	3022300	6620880	58652	44206	32882704	865076	258688096	2734628	2446314	1504077	2153534	104564	292033454	322517398	151313255	21600	12551910	1068357281	2695387305	1056246	1366487769	3179041	342421	2376389	247400	6228	15527225	24576	2460611	6868868	127035	213438350	52412558	23366	2544074050	1691216	6377944	302700	27807219	204099318	515449	1330071	11271	8456317	1133702	839230	4751434	10423453	229675639	780584	114514	4776225	57214684	2499825	13194497	3903039	12710061	6762	2853000	930596384	681119	6348289	61847899	1556081	13838067	38518659	11759	2566421	32783500	249344292	2762190	15572457	8643756	2442537		1205879	849553629	117945	131346	20461567	131155000	4100044	654081362	3724031	12105539	4601864	2112900	180637	2763222	3757523	18419	3837691	7211716	273440461	3468646	302095262	10702728	79330	391932	4557449	1738335	8098334	453183	6888	54695	6598094	5754	3807316	1131095541	355796328	2317976	36937387	3028837	2253119	279784152	562966	204099318	85896	654081362	302095262	1002585	5261658	37518611	5685	13971451	10618206	47573287	1475716769	2806462	207661000	12111511	96872	11741008	10095	70937	42449276	88862	3758613546	142503	1273021	7257462	22942143	4442525	5374712
